Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
179,Complete,Male,45-54 years,SA,Australian Rules Football (AFL),,Married,Homemaker,Year/Grade 12 or equivalent
180,Complete,Male,18-24 years,VIC,Australian Rules Football (AFL),,Single,Not currently employed,TAFE qualification
181,Complete,Female,25-34 years,TAS,Australian Rules Football (AFL),,Single,Not currently employed,Year/Grade 10 (or equivalent) or lower
182,Complete,Male,18-24 years,QLD,Soccer,,In a relationship,Not currently employed,Undergraduate or Bachelor Degree
183,Complete,Male,35-44 years,QLD,Cricket,,Married,"An employee on wages, salary or commission",Diploma and advanced Diploma
185,Complete,Female,18-24 years,NSW,Netball,,In a relationship,"An employee on wages, salary or commission",TAFE qualification
186,Complete,Female,25-34 years,NSW,Soccer,,In a relationship,Not currently employed,Year/Grade 12 or equivalent
187,Complete,Male,55-64 years,ACT,Cricket,,In a relationship,Retired,Diploma and advanced Diploma
188,Complete,Female,25-34 years,NSW,Rugby League (NRL),,Married,Not currently employed,Post Graduate Degree - Master's
189,Complete,Female,25-34 years,NSW,Cricket,,Married,Self-employed,TAFE qualification
190,Complete,Male,55-64 years,NT,Soccer,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
191,Complete,Female,55-64 years,TAS,Australian Rules Football (AFL),,Single,Retired,Diploma and advanced Diploma
193,Complete,Male,45-54 years,WA,Australian Rules Football (AFL),,In a relationship,Not currently employed,TAFE qualification
194,Complete,Male,25-34 years,VIC,Basketball,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
195,Complete,Female,55-64 years,TAS,Australian Rules Football (AFL),,Divorced,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
196,Complete,Male,25-34 years,WA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
197,Complete,Male,35-44 years,ACT,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
198,Complete,Female,18-24 years,QLD,Rugby League (NRL),,Engaged,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
199,Complete,Male,25-34 years,TAS,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
